radial,horizontal_lsf,vertical_lsf
-63.000000,0.001674,0.002020
-62.000000,0.003509,0.002156
-61.000000,0.000752,0.001898
-60.000000,0.001082,0.001544
-59.000000,0.003833,0.002537
-58.000000,0.002739,0.000865
-57.000000,0.002772,0.000334
-56.000000,0.002450,0.002907
-55.000000,0.002189,0.004335
-54.000000,0.000713,0.004202
-53.000000,0.001912,0.002677
-52.000000,0.004027,0.001660
-51.000000,0.003311,0.003737
-50.000000,0.000753,0.003830
-49.000000,0.000130,0.000000
-48.000000,0.003199,0.000000
-47.000000,0.003740,0.004171
-46.000000,0.000443,0.002619
-45.000000,0.000378,0.000920
-44.000000,0.002885,0.000726
-43.000000,0.000406,0.004815
-42.000000,0.003317,0.003447
-41.000000,0.008420,0.001652
-40.000000,0.006408,0.001218
-39.000000,0.000000,0.001655
-38.000000,0.000000,0.003887
-37.000000,0.002207,0.001932
-36.000000,0.003982,0.002903
-35.000000,0.006940,0.004285
-34.000000,0.001363,0.002177
-33.000000,0.000000,0.002576
-32.000000,0.004378,0.003291
-31.000000,0.003830,0.002867
-30.000000,0.002867,0.001845
-29.000000,0.002127,0.001375
-28.000000,0.000951,0.002494
-27.000000,0.002281,0.003377
-26.000000,0.002102,0.005611
-25.000000,0.000930,0.002878
-24.000000,0.001335,0.000000
-23.000000,0.004092,0.001661
-22.000000,0.005938,0.007826
-21.000000,0.002967,0.005854
-20.000000,0.000237,0.002989
-19.000000,0.004819,0.000751
-18.000000,0.004133,0.000829
-17.000000,0.000000,0.003888
-16.000000,0.003092,0.005675
-15.000000,0.007260,0.005320
-14.000000,0.006558,0.002700
-13.000000,0.006665,0.003031
-12.000000,0.009223,0.003892
-11.000000,0.010684,0.004928
-10.000000,0.010336,0.004172
-9.000000,0.008816,0.001217
-8.000000,0.007969,0.008450
-7.000000,0.008925,0.025499
-6.000000,0.017115,0.034621
-5.000000,0.027235,0.040063
-4.000000,0.039662,0.051754
-3.000000,0.049654,0.053893
-2.000000,0.059233,0.050847
-1.000000,0.064327,0.057081
0.000000,0.059383,0.059455
1.000000,0.056840,0.056423
2.000000,0.061073,0.056940
3.000000,0.059371,0.057439
4.000000,0.047642,0.045770
5.000000,0.030640,0.033384
6.000000,0.023543,0.028460
7.000000,0.019150,0.022536
8.000000,0.011683,0.012691
9.000000,0.010844,0.007723
10.000000,0.008243,0.004739
11.000000,0.005768,0.001708
12.000000,0.010741,0.003044
13.000000,0.012005,0.002729
14.000000,0.003724,0.002015
15.000000,0.002953,0.004309
16.000000,0.005694,0.007255
17.000000,0.004597,0.003595
18.000000,0.003765,0.001022
19.000000,0.002200,0.005292
20.000000,0.003737,0.005125
21.000000,0.002837,0.002401
22.000000,0.001627,0.000604
23.000000,0.003536,0.000000
24.000000,0.002884,0.001846
25.000000,0.003107,0.004415
26.000000,0.004952,0.004199
27.000000,0.001136,0.000322
28.000000,0.001631,0.003437
29.000000,0.003151,0.006078
30.000000,0.000957,0.000314
31.000000,0.004559,0.002272
32.000000,0.002966,0.004458
33.000000,0.001617,0.002689
34.000000,0.001713,0.001950
35.000000,0.002069,0.001562
36.000000,0.001704,0.001556
37.000000,0.004083,0.004527
38.000000,0.004272,0.003454
39.000000,0.000000,0.000000
40.000000,0.000730,0.001931
41.000000,0.004774,0.005429
42.000000,0.002044,0.002909
43.000000,0.001430,0.000510
44.000000,0.003209,0.001427
45.000000,0.000523,0.002892
46.000000,0.001951,0.002736
47.000000,0.003218,0.000775
48.000000,0.003038,0.004851
49.000000,0.001018,0.006245
50.000000,0.001017,0.000000
51.000000,0.002749,0.000000
52.000000,0.005132,0.004820
53.000000,0.005713,0.005608
54.000000,0.000000,0.000971
55.000000,0.000150,0.001012
56.000000,0.003222,0.001383
57.000000,0.002636,0.000000
58.000000,0.000522,0.001280
59.000000,0.001771,0.004292
60.000000,0.004511,0.003738
61.000000,0.001326,0.002985
62.000000,0.001646,0.002102
