radial,horizontal_lsf,vertical_lsf
-63.000000,0.000007,0.000004
-62.000000,0.000006,0.000011
-61.000000,0.000005,0.000000
-60.000000,0.000009,0.000003
-59.000000,0.000010,0.000013
-58.000000,0.000004,0.000003
-57.000000,0.000008,0.000006
-56.000000,0.000008,0.000007
-55.000000,0.000003,0.000004
-54.000000,0.000002,0.000003
-53.000000,0.000002,0.000013
-52.000000,0.000011,0.000001
-51.000000,0.000010,0.000010
-50.000000,0.000008,0.000000
-49.000000,0.000016,0.000000
-48.000000,0.000009,0.000013
-47.000000,0.000005,0.000000
-46.000000,0.000007,0.000014
-45.000000,0.000003,0.000011
-44.000000,0.000003,0.000005
-43.000000,0.000009,0.000010
-42.000000,0.000003,0.000006
-41.000000,0.000006,0.000004
-40.000000,0.000009,0.000000
-39.000000,0.000015,0.000004
-38.000000,0.000016,0.000005
-37.000000,0.000018,0.000003
-36.000000,0.000010,0.000001
-35.000000,0.000005,0.000009
-34.000000,0.000001,0.000009
-33.000000,0.000000,0.000006
-32.000000,0.000000,0.000012
-31.000000,0.000006,0.000026
-30.000000,0.000014,0.000037
-29.000000,0.000015,0.000054
-28.000000,0.000021,0.000071
-27.000000,0.000018,0.000121
-26.000000,0.000014,0.000179
-25.000000,0.000006,0.000269
-24.000000,0.000001,0.000404
-23.000000,0.000000,0.000593
-22.000000,0.000000,0.000861
-21.000000,0.000018,0.001242
-20.000000,0.000055,0.001762
-19.000000,0.000137,0.002453
-18.000000,0.000297,0.003355
-17.000000,0.000627,0.004506
-16.000000,0.001280,0.005956
-15.000000,0.002493,0.007740
-14.000000,0.004536,0.009890
-13.000000,0.007713,0.012426
-12.000000,0.012284,0.015355
-11.000000,0.018318,0.018645
-10.000000,0.025578,0.022257
-9.000000,0.033470,0.026140
-8.000000,0.041057,0.030181
-7.000000,0.047252,0.034259
-6.000000,0.051129,0.038239
-5.000000,0.052197,0.041969
-4.000000,0.050630,0.045298
-3.000000,0.047261,0.048055
-2.000000,0.043378,0.050128
-1.000000,0.040356,0.051424
0.000000,0.039215,0.051835
1.000000,0.040356,0.051424
2.000000,0.043378,0.050127
3.000000,0.047261,0.048055
4.000000,0.050631,0.045298
5.000000,0.052197,0.041969
6.000000,0.051129,0.038239
7.000000,0.047252,0.034259
8.000000,0.041057,0.030182
9.000000,0.033470,0.026140
10.000000,0.025578,0.022257
11.000000,0.018318,0.018645
12.000000,0.012283,0.015355
13.000000,0.007712,0.012426
14.000000,0.004536,0.009889
15.000000,0.002493,0.007740
16.000000,0.001281,0.005956
17.000000,0.000627,0.004506
18.000000,0.000297,0.003356
19.000000,0.000137,0.002454
20.000000,0.000055,0.001762
21.000000,0.000018,0.001242
22.000000,0.000000,0.000861
23.000000,0.000000,0.000593
24.000000,0.000001,0.000404
25.000000,0.000006,0.000269
26.000000,0.000014,0.000178
27.000000,0.000018,0.000121
28.000000,0.000021,0.000071
29.000000,0.000015,0.000053
30.000000,0.000013,0.000037
31.000000,0.000006,0.000026
32.000000,0.000000,0.000012
33.000000,0.000000,0.000006
34.000000,0.000002,0.000009
35.000000,0.000005,0.000010
36.000000,0.000009,0.000001
37.000000,0.000015,0.000003
38.000000,0.000016,0.000005
39.000000,0.000018,0.000004
40.000000,0.000006,0.000000
41.000000,0.000009,0.000004
42.000000,0.000010,0.000006
43.000000,0.000006,0.000010
44.000000,0.000003,0.000005
45.000000,0.000006,0.000011
46.000000,0.000005,0.000014
47.000000,0.000007,0.000000
48.000000,0.000009,0.000013
49.000000,0.000014,0.000000
50.000000,0.000011,0.000000
51.000000,0.000007,0.000010
52.000000,0.000013,0.000001
53.000000,0.000003,0.000013
54.000000,0.000000,0.000003
55.000000,0.000003,0.000004
56.000000,0.000010,0.000007
57.000000,0.000009,0.000005
58.000000,0.000002,0.000002
59.000000,0.000009,0.000013
60.000000,0.000008,0.000003
61.000000,0.000006,0.000001
62.000000,0.000008,0.000012
63.000000,0.000007,0.000004
