radial,horizontal_lsf,vertical_lsf
-49.000000,0.000072,0.000052
-48.000000,0.000038,0.000045
-47.000000,0.000031,0.000029
-46.000000,0.000126,0.000073
-45.000000,0.000071,0.000058
-44.000000,0.000000,0.000000
-43.000000,0.000159,0.000095
-42.000000,0.000003,0.000029
-41.000000,0.000054,0.000038
-40.000000,0.000207,0.000130
-39.000000,0.000000,0.000002
-38.000000,0.000000,0.000000
-37.000000,0.000160,0.000109
-36.000000,0.000072,0.000052
-35.000000,0.000025,0.000013
-34.000000,0.000136,0.000106
-33.000000,0.000076,0.000045
-32.000000,0.000078,0.000056
-31.000000,0.000062,0.000058
-30.000000,0.000143,0.000130
-29.000000,0.000092,0.000070
-28.000000,0.000105,0.000101
-27.000000,0.000062,0.000050
-26.000000,0.000161,0.000110
-25.000000,0.000059,0.000063
-24.000000,0.000009,0.000046
-23.000000,0.000020,0.000021
-22.000000,0.000059,0.000056
-21.000000,0.000115,0.000113
-20.000000,0.000076,0.000041
-19.000000,0.000003,0.000000
-18.000000,0.000020,0.000043
-17.000000,0.000067,0.000101
-16.000000,0.000063,0.000027
-15.000000,0.000112,0.000086
-14.000000,0.000056,0.000031
-13.000000,0.000132,0.000131
-12.000000,0.000111,0.000089
-11.000000,0.000076,0.000050
-10.000000,0.000091,0.000052
-9.000000,0.000129,0.000000
-8.000000,0.000544,0.000088
-7.000000,0.001933,0.000260
-6.000000,0.006221,0.001141
-5.000000,0.017064,0.005453
-4.000000,0.039057,0.020470
-3.000000,0.074377,0.057517
-2.000000,0.117992,0.120186
-1.000000,0.154740,0.185609
0.000000,0.170966,0.215510
1.000000,0.154448,0.184752
2.000000,0.117609,0.119444
3.000000,0.074081,0.057296
4.000000,0.038917,0.020487
5.000000,0.017002,0.005440
6.000000,0.006200,0.001104
7.000000,0.001958,0.000264
8.000000,0.000595,0.000163
9.000000,0.000161,0.000049
10.000000,0.000070,0.000020
11.000000,0.000043,0.000000
12.000000,0.000078,0.000045
13.000000,0.000110,0.000107
14.000000,0.000099,0.000096
15.000000,0.000166,0.000171
16.000000,0.000056,0.000004
17.000000,0.000033,0.000027
18.000000,0.000059,0.000101
19.000000,0.000046,0.000060
20.000000,0.000056,0.000006
21.000000,0.000083,0.000064
22.000000,0.000076,0.000087
23.000000,0.000033,0.000040
24.000000,0.000000,0.000000
25.000000,0.000039,0.000048
26.000000,0.000170,0.000121
27.000000,0.000065,0.000051
28.000000,0.000106,0.000099
29.000000,0.000075,0.000053
30.000000,0.000144,0.000130
31.000000,0.000089,0.000082
32.000000,0.000090,0.000066
33.000000,0.000076,0.000048
34.000000,0.000112,0.000083
35.000000,0.000032,0.000020
36.000000,0.000072,0.000055
37.000000,0.000174,0.000123
38.000000,0.000000,0.000002
39.000000,0.000000,0.000005
40.000000,0.000207,0.000131
41.000000,0.000055,0.000042
42.000000,0.000003,0.000026
43.000000,0.000160,0.000099
44.000000,0.000000,0.000000
45.000000,0.000075,0.000063
46.000000,0.000116,0.000065
47.000000,0.000027,0.000027
48.000000,0.000039,0.000045
49.000000,0.000072,0.000052
