radial,horizontal_lsf,vertical_lsf
-200.000000,0.000175,0.000195
-199.000000,0.000115,0.000126
-198.000000,0.000120,0.000144
-197.000000,0.000126,0.000149
-196.000000,0.000139,0.000164
-195.000000,0.000111,0.000139
-194.000000,0.000100,0.000137
-193.000000,0.000112,0.000142
-192.000000,0.000102,0.000129
-191.000000,0.000132,0.000161
-190.000000,0.000198,0.000205
-189.000000,0.000102,0.000122
-188.000000,0.000164,0.000180
-187.000000,0.000092,0.000118
-186.000000,0.000080,0.000103
-185.000000,0.000159,0.000183
-184.000000,0.000097,0.000122
-183.000000,0.000124,0.000149
-182.000000,0.000114,0.000140
-181.000000,0.000124,0.000137
-180.000000,0.000167,0.000186
-179.000000,0.000097,0.000123
-178.000000,0.000119,0.000140
-177.000000,0.000122,0.000146
-176.000000,0.000108,0.000126
-175.000000,0.000144,0.000165
-174.000000,0.000108,0.000135
-173.000000,0.000087,0.000112
-172.000000,0.000126,0.000148
-171.000000,0.000134,0.000157
-170.000000,0.000160,0.000181
-169.000000,0.000108,0.000131
-168.000000,0.000154,0.000171
-167.000000,0.000080,0.000101
-166.000000,0.000109,0.000132
-165.000000,0.000172,0.000194
-164.000000,0.000122,0.000143
-163.000000,0.000051,0.000073
-162.000000,0.000120,0.000140
-161.000000,0.000069,0.000097
-160.000000,0.000207,0.000225
-159.000000,0.000095,0.000123
-158.000000,0.000036,0.000069
-157.000000,0.000155,0.000172
-156.000000,0.000147,0.000170
-155.000000,0.000054,0.000082
-154.000000,0.000137,0.000153
-153.000000,0.000133,0.000147
-152.000000,0.000172,0.000201
-151.000000,0.000121,0.000135
-150.000000,0.000163,0.000187
-149.000000,0.000192,0.000222
-148.000000,0.000049,0.000086
-147.000000,0.000102,0.000138
-146.000000,0.000068,0.000097
-145.000000,0.000108,0.000126
-144.000000,0.000081,0.000097
-143.000000,0.000067,0.000086
-142.000000,0.000017,0.000043
-141.000000,0.000258,0.000284
-140.000000,0.000159,0.000194
-139.000000,0.000143,0.000170
-138.000000,0.000184,0.000194
-137.000000,0.000254,0.000268
-136.000000,0.000099,0.000102
-135.000000,0.000155,0.000170
-134.000000,0.000097,0.000120
-133.000000,0.000049,0.000082
-132.000000,0.000056,0.000089
-131.000000,0.000034,0.000068
-130.000000,0.000021,0.000055
-129.000000,0.000124,0.000150
-128.000000,0.000152,0.000171
-127.000000,0.000183,0.000202
-126.000000,0.000136,0.000159
-125.000000,0.000222,0.000248
-124.000000,0.000186,0.000195
-123.000000,0.000158,0.000169
-122.000000,0.000169,0.000181
-121.000000,0.000154,0.000183
-120.000000,0.000159,0.000172
-119.000000,0.000086,0.000116
-118.000000,0.000101,0.000136
-117.000000,0.000115,0.000148
-116.000000,0.000043,0.000068
-115.000000,0.000045,0.000075
-114.000000,0.000123,0.000144
-113.000000,0.000045,0.000049
-112.000000,0.000096,0.000112
-111.000000,0.000124,0.000148
-110.000000,0.000243,0.000282
-109.000000,0.000195,0.000222
-108.000000,0.000228,0.000239
-107.000000,0.000164,0.000185
-106.000000,0.000115,0.000142
-105.000000,0.000086,0.000092
-104.000000,0.000140,0.000145
-103.000000,0.000000,0.000018
-102.000000,0.000019,0.000066
-101.000000,0.000070,0.000095
-100.000000,0.000179,0.000214
-99.000000,0.000146,0.000174
-98.000000,0.000124,0.000150
-97.000000,0.000089,0.000107
-96.000000,0.000290,0.000317
-95.000000,0.000135,0.000151
-94.000000,0.000106,0.000128
-93.000000,0.000169,0.000190
-92.000000,0.000157,0.000185
-91.000000,0.000071,0.000087
-90.000000,0.000125,0.000141
-89.000000,0.000130,0.000146
-88.000000,0.000071,0.000085
-87.000000,0.000076,0.000120
-86.000000,0.000131,0.000159
-85.000000,0.000074,0.000084
-84.000000,0.000037,0.000063
-83.000000,0.000123,0.000157
-82.000000,0.000148,0.000158
-81.000000,0.000115,0.000132
-80.000000,0.000286,0.000314
-79.000000,0.000242,0.000268
-78.000000,0.000151,0.000166
-77.000000,0.000121,0.000158
-76.000000,0.000029,0.000080
-75.000000,0.000225,0.000219
-74.000000,0.000229,0.000222
-73.000000,0.000000,0.000000
-72.000000,0.000000,0.000000
-71.000000,0.000188,0.000237
-70.000000,0.000258,0.000285
-69.000000,0.000095,0.000127
-68.000000,0.000000,0.000000
-67.000000,0.000083,0.000064
-66.000000,0.000298,0.000332
