radial,horizontal_lsf,vertical_lsf
-49.000000,0.001611,0.001042
-48.000000,0.001094,0.000583
-47.000000,0.002235,0.001104
-46.000000,0.002605,0.002451
-45.000000,0.002652,0.002153
-44.000000,0.000000,0.001200
-43.000000,0.000000,0.001866
-42.000000,0.003926,0.000000
-41.000000,0.002983,0.000000
-40.000000,0.002501,0.002079
-39.000000,0.000790,0.000381
-38.000000,0.001045,0.001839
-37.000000,0.003200,0.003834
-36.000000,0.000304,0.002633
-35.000000,0.001562,0.000056
-34.000000,0.001076,0.000275
-33.000000,0.000000,0.000835
-32.000000,0.001455,0.000527
-31.000000,0.003446,0.001163
-30.000000,0.003551,0.002989
-29.000000,0.001790,0.001225
-28.000000,0.003411,0.000000
-27.000000,0.001559,0.000647
-26.000000,0.000000,0.001141
-25.000000,0.001861,0.001899
-24.000000,0.003275,0.001152
-23.000000,0.000688,0.001466
-22.000000,0.003142,0.002499
-21.000000,0.003017,0.001083
-20.000000,0.001751,0.001065
-19.000000,0.001536,0.000599
-18.000000,0.001289,0.000665
-17.000000,0.001040,0.002359
-16.000000,0.001967,0.003852
-15.000000,0.003116,0.002958
-14.000000,0.001039,0.000675
-13.000000,0.000005,0.001041
-12.000000,0.002048,0.002393
-11.000000,0.005856,0.002174
-10.000000,0.004183,0.000000
-9.000000,0.001612,0.000611
-8.000000,0.004877,0.005928
-7.000000,0.007111,0.008891
-6.000000,0.008623,0.009907
-5.000000,0.013861,0.013485
-4.000000,0.025623,0.021760
-3.000000,0.040966,0.040027
-2.000000,0.079699,0.081336
-1.000000,0.158511,0.164193
0.000000,0.197957,0.211523
1.000000,0.139614,0.152616
2.000000,0.072093,0.079804
3.000000,0.037309,0.038528
4.000000,0.021207,0.022617
5.000000,0.012880,0.014375
6.000000,0.010732,0.005870
7.000000,0.005781,0.003180
8.000000,0.002258,0.006180
9.000000,0.004682,0.004100
10.000000,0.002837,0.002041
11.000000,0.002685,0.002184
12.000000,0.003893,0.001085
13.000000,0.001191,0.000380
14.000000,0.002328,0.000185
15.000000,0.003299,0.001657
16.000000,0.001315,0.003851
17.000000,0.002134,0.004226
18.000000,0.003162,0.000399
19.000000,0.001542,0.000000
20.000000,0.000062,0.001867
21.000000,0.002952,0.003336
22.000000,0.002833,0.001594
23.000000,0.000000,0.001563
24.000000,0.000000,0.002328
25.000000,0.002651,0.001882
26.000000,0.003943,0.001260
27.000000,0.000882,0.000414
28.000000,0.000843,0.000370
29.000000,0.002601,0.000504
30.000000,0.004132,0.001932
31.000000,0.001096,0.002269
32.000000,0.001489,0.001753
33.000000,0.002068,0.001626
34.000000,0.000000,0.000498
35.000000,0.001784,0.000278
36.000000,0.003119,0.002005
37.000000,0.002247,0.003165
38.000000,0.000442,0.001038
39.000000,0.000977,0.000000
40.000000,0.002873,0.000939
41.000000,0.000832,0.000796
42.000000,0.002265,0.001918
43.000000,0.003046,0.002669
44.000000,0.001147,0.001723
45.000000,0.001840,0.000482
46.000000,0.001643,0.000376
47.000000,0.000841,0.002151
48.000000,0.001398,0.001335
49.000000,0.001607,0.001091
