radial,horizontal_lsf,vertical_lsf
-200.000000,0.000691,0.000836
-199.000000,0.000319,0.001104
-198.000000,0.000355,0.001088
-197.000000,0.000598,0.000320
-196.000000,0.000034,0.001765
-195.000000,0.000547,0.001017
-194.000000,0.001650,0.000528
-193.000000,0.001606,0.000765
-192.000000,0.001111,0.000944
-191.000000,0.000626,0.001353
-190.000000,0.000420,0.001477
-189.000000,0.000328,0.000107
-188.000000,0.000143,0.000000
-187.000000,0.000923,0.000854
-186.000000,0.001330,0.000485
-185.000000,0.001323,0.001445
-184.000000,0.001711,0.000711
-183.000000,0.001341,0.000703
-182.000000,0.000000,0.000852
-181.000000,0.000201,0.001248
-180.000000,0.002157,0.002410
-179.000000,0.001308,0.002424
-178.000000,0.000021,0.000889
-177.000000,0.000006,0.000000
-176.000000,0.001170,0.000529
-175.000000,0.000930,0.001269
-174.000000,0.000678,0.001104
-173.000000,0.000260,0.000578
-172.000000,0.000000,0.000000
-171.000000,0.000550,0.000123
-170.000000,0.001795,0.000849
-169.000000,0.001323,0.001052
-168.000000,0.000817,0.000769
-167.000000,0.000236,0.000530
-166.000000,0.000801,0.000000
-165.000000,0.001023,0.000687
-164.000000,0.000666,0.001741
-163.000000,0.000221,0.001761
-162.000000,0.000483,0.001030
-161.000000,0.001190,0.000210
-160.000000,0.001433,0.000845
-159.000000,0.000599,0.001139
-158.000000,0.000000,0.000512
-157.000000,0.001317,0.000883
-156.000000,0.001466,0.001752
-155.000000,0.000546,0.001353
-154.000000,0.000554,0.000726
-153.000000,0.000774,0.000292
-152.000000,0.000596,0.000043
-151.000000,0.001376,0.000837
-150.000000,0.001275,0.001375
-149.000000,0.000579,0.001423
-148.000000,0.000000,0.001336
-147.000000,0.000000,0.001082
-146.000000,0.001375,0.000811
-145.000000,0.001475,0.000534
-144.000000,0.000377,0.000856
-143.000000,0.000670,0.000987
-142.000000,0.000548,0.000137
-141.000000,0.000164,0.000000
-140.000000,0.000830,0.000985
-139.000000,0.001217,0.002001
-138.000000,0.000590,0.001808
-137.000000,0.000480,0.001044
-136.000000,0.000990,0.000429
-135.000000,0.000981,0.000779
-134.000000,0.000550,0.000328
-133.000000,0.000238,0.000000
-132.000000,0.000313,0.000043
-131.000000,0.000819,0.000633
-130.000000,0.001220,0.001459
-129.000000,0.000795,0.001455
-128.000000,0.000415,0.000964
-127.000000,0.000144,0.000480
-126.000000,0.000997,0.000566
-125.000000,0.001179,0.000815
-124.000000,0.000498,0.000156
-123.000000,0.000477,0.000000
-122.000000,0.001554,0.000860
-121.000000,0.001096,0.001843
-120.000000,0.001010,0.001533
-119.000000,0.001029,0.000558
-118.000000,0.000075,0.000906
-117.000000,0.000000,0.001191
-116.000000,0.000061,0.000624
-115.000000,0.000722,0.000320
-114.000000,0.000142,0.001350
-113.000000,0.000175,0.001646
-112.000000,0.001830,0.001257
-111.000000,0.001788,0.000707
-110.000000,0.000492,0.000618
-109.000000,0.001032,0.000861
-108.000000,0.001392,0.000919
-107.000000,0.000937,0.000254
-106.000000,0.000575,0.000619
-105.000000,0.000363,0.001012
-104.000000,0.000364,0.001595
-103.000000,0.000953,0.001548
-102.000000,0.000584,0.000488
-101.000000,0.000195,0.000137
-100.000000,0.000497,0.001057
-99.000000,0.000870,0.001116
-98.000000,0.000620,0.001099
-97.000000,0.000711,0.000577
-96.000000,0.000768,0.000000
-95.000000,0.000563,0.001573
-94.000000,0.000544,0.002263
-93.000000,0.001310,0.000425
-92.000000,0.001011,0.000329
-91.000000,0.000093,0.000507
-90.000000,0.001081,0.001271
-89.000000,0.001426,0.001199
-88.000000,0.001700,0.000403
-87.000000,0.000890,0.001267
-86.000000,0.000882,0.001379
-85.000000,0.001677,0.000244
-84.000000,0.000559,0.000250
-83.000000,0.000100,0.001825
-82.000000,0.000818,0.001739
-81.000000,0.000510,0.000224
-80.000000,0.000612,0.000000
-79.000000,0.001115,0.000000
-78.000000,0.001189,0.001182
-77.000000,0.001301,0.001528
-76.000000,0.000032,0.001135
-75.000000,0.000000,0.001830
-74.000000,0.000422,0.001218
-73.000000,0.000411,0.000035
-72.000000,0.000021,0.000000
-71.000000,0.000637,0.000791
-70.000000,0.000806,0.001420
-69.000000,0.000515,0.001206
-68.000000,0.000559,0.000680
-67.000000,0.001278,0.001357
-66.000000,0.001188,0.001640
-65.000000,0.000331,0.001038
-64.000000,0.000000,0.000768
-63.000000,0.000070,0.001054
-62.000000,0.001239,0.001307
-61.000000,0.001585,0.000837
-60.000000,0.000255,0.000492
-59.000000,0.000807,0.002807
-58.000000,0.001971,0.001805
-57.000000,0.000844,0.000000
-56.000000,0.001194,0.000000
-55.000000,0.000715,0.000766
-54.000000,0.000426,0.001445
-53.000000,0.000789,0.000792
-52.000000,0.000268,0.000000
-51.000000,0.001025,0.001456
-50.000000,0.001361,0.002500
-49.000000,0.000792,0.000908
-48.000000,0.001056,0.000637
-47.000000,0.001092,0.001887
-46.000000,0.000832,0.001630
-45.000000,0.000593,0.000334
-44.000000,0.000652,0.000587
-43.000000,0.001141,0.000636
-42.000000,0.001354,0.000676
-41.000000,0.000797,0.000979
-40.000000,0.000470,0.001076
-39.000000,0.001158,0.001366
-38.000000,0.001636,0.000828
-37.000000,0.001722,0.000190
-36.000000,0.000980,0.000910
-35.000000,0.001068,0.001386
-34.000000,0.001211,0.001028
-33.000000,0.001426,0.000632
-32.000000,0.001146,0.001332
-31.000000,0.001160,0.001801
-30.000000,0.001722,0.002442
-29.000000,0.001850,0.003126
-28.000000,0.002201,0.002327
-27.000000,0.001945,0.002035
-26.000000,0.001906,0.002284
-25.000000,0.001716,0.001763
-24.000000,0.001644,0.001822
-23.000000,0.001789,0.001908
-22.000000,0.002523,0.001785
-21.000000,0.002764,0.002256
-20.000000,0.002441,0.002821
-19.000000,0.002700,0.003468
-18.000000,0.004097,0.003969
-17.000000,0.004354,0.004418
-16.000000,0.004507,0.004030
-15.000000,0.005712,0.005141
-14.000000,0.006831,0.005280
-13.000000,0.006975,0.004927
-12.000000,0.007642,0.006523
-11.000000,0.010276,0.008221
-10.000000,0.011983,0.010154
-9.000000,0.011441,0.011759
-8.000000,0.013545,0.012310
-7.000000,0.018995,0.016246
-6.000000,0.023406,0.021352
-5.000000,0.024582,0.023408
-4.000000,0.035738,0.023675
-3.000000,0.046685,0.037447
